Consulta Dinâmica de Receita 2009
Unidade Gestora;Gestão;Categoria Econômica;Origem;Espécie;Rubrica;Alínea;Subalínea;Exercício;Mês;Receita Prevista;Receita Realizada;Diferença;% Realizado;
"COMPANHIA DE DESENV. HABITACIONAL DO DF-CODHAB";"COMPANHIA DE DESENV. HABITACIONAL DO DF - CODHAB";"RECEITAS CORRENTES";"RECEITA PATRIMONIAL";"RECEITAS DE VALORES MOBILIÁRIOS";"REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS";"REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS NÃO VINCULADOS";"REM.DEP.BANCÁRIOS - EMPRESAS";"2009";;0,00;549.953,27;-549.953,27;0,00;
"COMPANHIA DE DESENV. HABITACIONAL DO DF-CODHAB";"COMPANHIA DE DESENV. HABITACIONAL DO DF - CODHAB";"RECEITAS CORRENTES";"RECEITA PATRIMONIAL";"RECEITAS IMOBILIÁRIAS";"TAXA DE OCUPAÇÃO DE IMÓVEIS";"OUTRAS TAXAS DE OCUPAÇÃO DE IMÓVEIS";"OUTRAS TAXAS DE OCUPAÇÃO DE IMÓVEIS";"2009";;153.350,00;0,00;153.350,00;0,00;
"COMPANHIA DE DESENV. HABITACIONAL DO DF-CODHAB";"COMPANHIA DE DESENV. HABITACIONAL DO DF - CODHAB";"RECEITAS DE CAPITAL";"ALIENAÇÃO DE BENS";"ALIENAÇÃO DE BENS IMÓVEIS";"ALIENAÇÃO DE IMÓVEIS URBANOS";"ALIENAÇÃO DE IMÓVEIS URBANOS";"ALIENAÇÃO DE IMÓVEIS URBANOS";"2009";;19.500.000,00;20.462.309,30;-962.309,30;104,93;
"COMPANHIA DE DESENV. HABITACIONAL DO DF-CODHAB";"COMPANHIA DE DESENV. HABITACIONAL DO DF - CODHAB";"RECEITAS DE CAPITAL";"AMORTIZAÇÕES DE EMPRÉSTIMOS E FINANCIAMENTO";"AMORTIZAÇÕES DE EMPRÉSTIMOS E FINANCIAMENTO";"AMORTIZAÇÕES DE EMPRÉSTIMOS E FINANCIAMENTO";"AMORTIZAÇÃO DE FINANCIAMENTOS";"AMORTIZAÇÃO DE FINANCIAMENTO FUNDHABI";"2009";;0,00;0,00;0,00;0,00;
"COMPANHIA DE DESENV. HABITACIONAL DO DF-CODHAB";"COMPANHIA DE DESENV. HABITACIONAL DO DF - CODHAB";"RECEITAS DE CAPITAL";"AMORTIZAÇÕES DE EMPRÉSTIMOS E FINANCIAMENTO";"AMORTIZAÇÕES DE EMPRÉSTIMOS E FINANCIAMENTO";"AMORTIZAÇÕES DE EMPRÉSTIMOS E FINANCIAMENTO";"AMORTIZAÇÃO DE FINANCIAMENTOS";"FINANCIAMENTOS DE PROJETOS";"2009";;3.110.000,00;1.038.817,23;2.071.182,77;33,40;
"COMPANHIA DE PLANEJAMENTO DO DISTRITO FEDERAL";"COMPANHIA DE PLANEJAMENTO DO DISTRITO FEDERAL";"RECEITAS CORRENTES";"OUTRAS RECEITAS CORRENTES";"INDENIZAÇÕES E RESTITUIÇÕES";"RESTITUIÇÕES";"OUTRAS RESTITUIÇÕES";"OUTRAS RESTITUIÇÕES";"2009";;0,00;9.462,30;-9.462,30;0,00;
"COMPANHIA DE PLANEJAMENTO DO DISTRITO FEDERAL";"COMPANHIA DE PLANEJAMENTO DO DISTRITO FEDERAL";"RECEITAS CORRENTES";"RECEITA DE SERVIÇOS";"RECEITA DE SERVIÇOS";"RECEITA DE SERVIÇOS";"SERVIÇOS DE PROCESSAMENTO DE DADOS";"SERVIÇOS DE PROCESSAMENTO DE DADOS";"2009";;0,00;78.907,18;-78.907,18;0,00;
"COMPANHIA DE PLANEJAMENTO DO DISTRITO FEDERAL";"COMPANHIA DE PLANEJAMENTO DO DISTRITO FEDERAL";"RECEITAS CORRENTES";"RECEITA PATRIMONIAL";"RECEITAS DE VALORES MOBILIÁRIOS";"DIVIDENDOS";"EMPRESAS";"EMPRESAS";"2009";;0,00;5.969,44;-5.969,44;0,00;
"COMPANHIA DE PLANEJAMENTO DO DISTRITO FEDERAL";"COMPANHIA DE PLANEJAMENTO DO DISTRITO FEDERAL";"RECEITAS CORRENTES";"RECEITA PATRIMONIAL";"RECEITAS DE VALORES MOBILIÁRIOS";"REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS";"REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS";"REMUNERAÇÃO DE DEPÓSITOS JUDICIAIS";"2009";;0,00;3.006,24;-3.006,24;0,00;
"COMPANHIA DO METROPOLITANO DO DISTRITO FEDERAL";"COMPANHIA DO METROPOL. DO DISTRITO FEDERAL";"DEDUÇÕES/RESTITUIÇÕES DA RECEITA";"DEDUÇÃO DA RECEITA DE VENDAS E SERVIÇOS";"* COFINS";"* COFINS";"* COFINS";"* COFINS";"2009";;0,00;-2.223.163,31;2.223.163,31;0,00;
"COMPANHIA DO METROPOLITANO DO DISTRITO FEDERAL";"COMPANHIA DO METROPOL. DO DISTRITO FEDERAL";"DEDUÇÕES/RESTITUIÇÕES DA RECEITA";"DEDUÇÃO DA RECEITA DE VENDAS E SERVIÇOS";"* PASEP";"* PASEP";"* PASEP";"* PASEP";"2009";;0,00;-1.222.739,79;1.222.739,79;0,00;
"COMPANHIA DO METROPOLITANO DO DISTRITO FEDERAL";"COMPANHIA DO METROPOL. DO DISTRITO FEDERAL";"RECEITAS CORRENTES";"OUTRAS RECEITAS CORRENTES";"MULTAS E JUROS DE MORA";"MULTAS E JUROS DE MORA DOS TRIBUTOS";"MULTA POR DESCUMPRIMENTO DE OBRIGAÇÃO";"MULTA  POR DESCUMPRIMENTO DE OBRIGAÇÃO";"2009";;0,00;62.063,72;-62.063,72;0,00;
"COMPANHIA DO METROPOLITANO DO DISTRITO FEDERAL";"COMPANHIA DO METROPOL. DO DISTRITO FEDERAL";"RECEITAS CORRENTES";"OUTRAS RECEITAS CORRENTES";"RECEITAS DIVERSAS";"RECEITAS DIVERSAS";"DESCONTOS OBTIDOS";"DESCONTOS OBTIDOS";"2009";;0,00;0,00;0,00;0,00;
"COMPANHIA DO METROPOLITANO DO DISTRITO FEDERAL";"COMPANHIA DO METROPOL. DO DISTRITO FEDERAL";"RECEITAS CORRENTES";"OUTRAS RECEITAS CORRENTES";"RECEITAS DIVERSAS";"RECEITAS DIVERSAS";"OUTRAS RECEITAS CORRENTES";"OUTRAS RECEITAS CORRENTES";"2009";;0,00;73.352,39;-73.352,39;0,00;
"COMPANHIA DO METROPOLITANO DO DISTRITO FEDERAL";"COMPANHIA DO METROPOL. DO DISTRITO FEDERAL";"RECEITAS CORRENTES";"RECEITA DE SERVIÇOS";"RECEITA DE SERVIÇOS";"RECEITA DE SERVIÇOS";"SERVIÇOS ADMINISTRATIVOS";"SERVIÇOS DE VENDA DE EDITAIS";"2009";;0,00;1.740,00;-1.740,00;0,00;
"COMPANHIA DO METROPOLITANO DO DISTRITO FEDERAL";"COMPANHIA DO METROPOL. DO DISTRITO FEDERAL";"RECEITAS CORRENTES";"RECEITA DE SERVIÇOS";"RECEITA DE SERVIÇOS";"RECEITA DE SERVIÇOS";"SERVIÇOS DE TRANSPORTE";"TRANSPORTE FERROVIÁRIO/METROVIÁRIO";"2009";;77.814.600,00;74.015.785,93;3.798.814,07;95,12;
"COMPANHIA DO METROPOLITANO DO DISTRITO FEDERAL";"COMPANHIA DO METROPOL. DO DISTRITO FEDERAL";"RECEITAS CORRENTES";"RECEITA PATRIMONIAL";"RECEITAS DE VALORES MOBILIÁRIOS";"PARTICIPAÇÕES";"PARTICIPAÇÕES";"PARTICIPAÇÕES";"2009";;0,00;311,53;-311,53;0,00;
"COMPANHIA DO METROPOLITANO DO DISTRITO FEDERAL";"COMPANHIA DO METROPOL. DO DISTRITO FEDERAL";"RECEITAS CORRENTES";"RECEITA PATRIMONIAL";"RECEITAS DE VALORES MOBILIÁRIOS";"REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS";"REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS NÃO VINCULADOS";"REM.DEP.BANCÁRIOS - EMPRESAS";"2009";;300.000,00;351.628,06;-51.628,06;117,21;
"COMPANHIA DO METROPOLITANO DO DISTRITO FEDERAL";"COMPANHIA DO METROPOL. DO DISTRITO FEDERAL";"RECEITAS CORRENTES";"RECEITA PATRIMONIAL";"RECEITAS DE VALORES MOBILIÁRIOS";"REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS";"REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS";"REMUNERAÇÃO DE DEPÓSITOS JUDICIAIS";"2009";;0,00;30,75;-30,75;0,00;
"COMPANHIA DO METROPOLITANO DO DISTRITO FEDERAL";"COMPANHIA DO METROPOL. DO DISTRITO FEDERAL";"RECEITAS CORRENTES";"RECEITA PATRIMONIAL";"RECEITAS IMOBILIÁRIAS";"ALUGUÉIS";"ALUGUÉIS DE IMÓVEIS";"REC. UTILIZ. ESPAÇO LOGR. PUB. E USO ÁREA PÚB";"2009";;2.978.400,00;0,00;2.978.400,00;0,00;
"COMPANHIA DO METROPOLITANO DO DISTRITO FEDERAL";"COMPANHIA DO METROPOL. DO DISTRITO FEDERAL";"RECEITAS CORRENTES";"RECEITA PATRIMONIAL";"RECEITAS IMOBILIÁRIAS";"ALUGUÉIS";"OUTROS RECEITAS DE ALUGUÉIS";"OUTROS RECEITAS DE ALUGUÉIS";"2009";;2.016.000,00;0,00;2.016.000,00;0,00;
"COMPANHIA DO METROPOLITANO DO DISTRITO FEDERAL";"COMPANHIA DO METROPOL. DO DISTRITO FEDERAL";"RECEITAS CORRENTES";"RECEITAS CORRENTES";"RECEITAS CORRENTES";"RECEITAS CORRENTES";"RECEITAS CORRENTES";"RECEITAS CORRENTES";"2009";;0,00;0,00;0,00;0,00;
"COMPANHIA DO METROPOLITANO DO DISTRITO FEDERAL";"COMPANHIA DO METROPOL. DO DISTRITO FEDERAL";"RECEITAS DE CAPITAL";"OPERAÇÕES DE CRÉDITO";"OPERAÇÕES DE CRÉDITO EXTERNAS";"OPERAÇÕES DE CRÉD. EXTERNAS RELATIVAS À PROGRAMA DE GOVERNO";"OPERAÇÕES DE CRÉD.EXTERNAS PARA PROGRAMA DE TRANSPORTE";"AFD - AGÊNCIA FRANCESA DE DESENVOLVIMENTO";"2009";;38.000.000,00;0,00;38.000.000,00;0,00;
"COMPANHIA DO METROPOLITANO DO DISTRITO FEDERAL";"COMPANHIA DO METROPOL. DO DISTRITO FEDERAL";"RECEITAS DE CAPITAL";"OPERAÇÕES DE CRÉDITO";"OPERAÇÕES DE CRÉDITO INTERNAS";"OPERAÇÕES DE CRÉD.INTERNAS - CONTRATUAIS";"OPERAÇÕES DE CRÉD.INTERNAS PARA  PROGRAMA NACIONAL DE APOIO À MODERNIZ";"BNDES";"2009";;6.229.000,00;0,00;6.229.000,00;0,00;
"COMPANHIA DO METROPOLITANO DO DISTRITO FEDERAL";"COMPANHIA DO METROPOL. DO DISTRITO FEDERAL";"RECEITAS DE CAPITAL";"TRANSFERÊNCIAS DE CAPITAL";"TRANSFERÊNCIA DE CONVÊNIO";"TRANSFERÊNCIAS  DE CONVÊNIOS DA UNIÃO E SUAS ENTIDADES";"DEMAIS TRANSFERÊNCIAS  DE CONVÊNIOS -";"DEMAIS TRANSFERÊNCIAS  DE CONVÊNIOS -";"2009";;81.000.000,00;0,00;81.000.000,00;0,00;
"COMPANHIA IMOBILIARIA DE BRASILIA";"COMPANHIA IMOBILIARIA DE BRASILIA";"RECEITAS CORRENTES";"OUTRAS RECEITAS CORRENTES";"RECEITAS DIVERSAS";"RECEITAS DIVERSAS";"OUTRAS RECEITAS CORRENTES";"OUTRAS RECEITAS CORRENTES";"2009";;0,00;0,00;0,00;0,00;
"COMPANHIA IMOBILIARIA DE BRASILIA";"COMPANHIA IMOBILIARIA DE BRASILIA";"RECEITAS DE CAPITAL";"ALIENAÇÃO DE BENS";"ALIENAÇÃO DE BENS IMÓVEIS";"ALIENAÇÃO DE OUTROS BENS IMÓVEIS";"ALIENAÇÃO DE OUTROS BENS IMÓVEIS";"ALIENAÇÃO DE OUTROS BENS IMÓVEIS";"2009";;0,00;0,00;0,00;0,00;
"COMPANHIA URBANIZADORA DA NOVA CAPITAL";"COMPANHIA URBANIZADORA DA NOVA CAPITAL";"DEDUÇÕES/RESTITUIÇÕES DA RECEITA";"DEDUÇÃO DA RECEITA DE VENDAS E SERVIÇOS";"* COFINS";"* COFINS";"* COFINS";"* COFINS";"2009";;0,00;-254.877,55;254.877,55;0,00;
"COMPANHIA URBANIZADORA DA NOVA CAPITAL";"COMPANHIA URBANIZADORA DA NOVA CAPITAL";"DEDUÇÕES/RESTITUIÇÕES DA RECEITA";"DEDUÇÃO DA RECEITA DE VENDAS E SERVIÇOS";"* IMPOSTO SOBRE SERVIÇOS";"* IMPOSTO SOBRE SERVIÇOS";"* IMPOSTO SOBRE SERVIÇOS";"* IMPOSTO SOBRE SERVIÇOS";"2009";;0,00;-21,12;21,12;0,00;
"COMPANHIA URBANIZADORA DA NOVA CAPITAL";"COMPANHIA URBANIZADORA DA NOVA CAPITAL";"DEDUÇÕES/RESTITUIÇÕES DA RECEITA";"DEDUÇÃO DA RECEITA DE VENDAS E SERVIÇOS";"* PASEP";"* PASEP";"* PASEP";"* PASEP";"2009";;0,00;-55.335,26;55.335,26;0,00;
"COMPANHIA URBANIZADORA DA NOVA CAPITAL";"COMPANHIA URBANIZADORA DA NOVA CAPITAL";"RECEITAS CORRENTES";"OUTRAS RECEITAS CORRENTES";"INDENIZAÇÕES E RESTITUIÇÕES";"RESTITUIÇÕES";"OUTRAS RESTITUIÇÕES";"OUTRAS RESTITUIÇÕES";"2009";;0,00;315,65;-315,65;0,00;
"COMPANHIA URBANIZADORA DA NOVA CAPITAL";"COMPANHIA URBANIZADORA DA NOVA CAPITAL";"RECEITAS CORRENTES";"OUTRAS RECEITAS CORRENTES";"MULTAS E JUROS DE MORA";"MULTAS DE OUTRAS ORIGENS";"MULTAS E JUROS PREVISTOS EM CONTRATOS";"MULTA P/ATRASO NA ENTREGA MATERIAL OU SERVIÇO";"2009";;0,00;1.259,62;-1.259,62;0,00;
"COMPANHIA URBANIZADORA DA NOVA CAPITAL";"COMPANHIA URBANIZADORA DA NOVA CAPITAL";"RECEITAS CORRENTES";"RECEITA DE SERVIÇOS";"RECEITA DE SERVIÇOS";"RECEITA DE SERVIÇOS";"OUTROS SERVIÇOS";"DEMAIS SERVIÇOS GERAIS";"2009";;0,00;542.540,68;-542.540,68;0,00;
"COMPANHIA URBANIZADORA DA NOVA CAPITAL";"COMPANHIA URBANIZADORA DA NOVA CAPITAL";"RECEITAS CORRENTES";"RECEITA DE SERVIÇOS";"RECEITA DE SERVIÇOS";"RECEITA DE SERVIÇOS";"OUTROS SERVIÇOS";"OUTROS SERVIÇOS";"2009";;30.000,00;0,00;30.000,00;0,00;
"COMPANHIA URBANIZADORA DA NOVA CAPITAL";"COMPANHIA URBANIZADORA DA NOVA CAPITAL";"RECEITAS CORRENTES";"RECEITA DE SERVIÇOS";"RECEITA DE SERVIÇOS";"RECEITA DE SERVIÇOS";"SERVIÇOS ADMINISTRATIVOS";"SERVIÇOS DE EXPEDIÇÃO DE DOCUMENTOS";"2009";;0,00;20,85;-20,85;0,00;
"COMPANHIA URBANIZADORA DA NOVA CAPITAL";"COMPANHIA URBANIZADORA DA NOVA CAPITAL";"RECEITAS CORRENTES";"RECEITA DE SERVIÇOS";"RECEITA DE SERVIÇOS";"RECEITA DE SERVIÇOS";"SERVIÇOS ADMINISTRATIVOS";"SERVIÇOS DE VENDA DE EDITAIS";"2009";;20.000,00;20.810,00;-810,00;104,05;
"COMPANHIA URBANIZADORA DA NOVA CAPITAL";"COMPANHIA URBANIZADORA DA NOVA CAPITAL";"RECEITAS CORRENTES";"RECEITA DE SERVIÇOS";"RECEITA DE SERVIÇOS";"RECEITA DE SERVIÇOS";"SERVIÇOS ADMINISTRATIVOS";"TAXA DE ADMINISTRAÇÃO DE SERVIÇOS";"2009";;200.000,00;348.385,90;-148.385,90;174,19;
"COMPANHIA URBANIZADORA DA NOVA CAPITAL";"COMPANHIA URBANIZADORA DA NOVA CAPITAL";"RECEITAS CORRENTES";"RECEITA PATRIMONIAL";"RECEITAS DE VALORES MOBILIÁRIOS";"PARTICIPAÇÕES";"PARTICIPAÇÕES";"PARTICIPAÇÕES";"2009";;350.000,00;425.983,85;-75.983,85;121,71;
"COMPANHIA URBANIZADORA DA NOVA CAPITAL";"COMPANHIA URBANIZADORA DA NOVA CAPITAL";"RECEITAS CORRENTES";"RECEITA PATRIMONIAL";"RECEITAS DE VALORES MOBILIÁRIOS";"REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS";"REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS";"REMUNERAÇÃO DE DEPÓSITOS JUDICIAIS";"2009";;0,00;0,00;0,00;0,00;
"DEPARTAMENTO DE TRÂNSITO DO DF";"DEPARTAMENTO DE TRANSITO DO DF";"RECEITAS CORRENTES";"OUTRAS RECEITAS CORRENTES";"INDENIZAÇÕES E RESTITUIÇÕES";"INDENIZAÇÕES";"INDENIZAÇÕES POR DANOS CAUSADOS AO PATRIMÔNIO PÙBLICO";"INDENIZAÇÕES POR DANOS CAUSADOS AO PATRIMÔNIO PÙBLICO";"2009";;5.000,00;40.797,62;-35.797,62;815,95;
"DEPARTAMENTO DE TRÂNSITO DO DF";"DEPARTAMENTO DE TRANSITO DO DF";"RECEITAS CORRENTES";"OUTRAS RECEITAS CORRENTES";"INDENIZAÇÕES E RESTITUIÇÕES";"INDENIZAÇÕES";"OUTRAS INDENIZAÇÕES";"OUTRAS INDENIZAÇÕES";"2009";;98.000,00;33.218,30;64.781,70;33,90;
"DEPARTAMENTO DE TRÂNSITO DO DF";"DEPARTAMENTO DE TRANSITO DO DF";"RECEITAS CORRENTES";"OUTRAS RECEITAS CORRENTES";"INDENIZAÇÕES E RESTITUIÇÕES";"RESTITUIÇÕES";"OUTRAS RESTITUIÇÕES";"OUTRAS RESTITUIÇÕES";"2009";;10.000,00;12.792,13;-2.792,13;127,92;
"DEPARTAMENTO DE TRÂNSITO DO DF";"DEPARTAMENTO DE TRANSITO DO DF";"RECEITAS CORRENTES";"OUTRAS RECEITAS CORRENTES";"INDENIZAÇÕES E RESTITUIÇÕES";"RESTITUIÇÕES";"RESTITUIÇÕES DE PROVENTOS E SALÁRIOS";"RESTITUIÇÕES DE PROVENTOS E SALÁRIOS";"2009";;2.000,00;0,00;2.000,00;0,00;
"DEPARTAMENTO DE TRÂNSITO DO DF";"DEPARTAMENTO DE TRANSITO DO DF";"RECEITAS CORRENTES";"OUTRAS RECEITAS CORRENTES";"MULTAS E JUROS DE MORA";"MULTAS DE OUTRAS ORIGENS";"MULTAS E JUROS PREVISTOS EM CONTRATOS";"MULTA P/ATRASO NA ENTREGA MATERIAL OU SERVIÇO";"2009";;5.000,00;10.653,03;-5.653,03;213,06;
"DEPARTAMENTO DE TRÂNSITO DO DF";"DEPARTAMENTO DE TRANSITO DO DF";"RECEITAS CORRENTES";"OUTRAS RECEITAS CORRENTES";"MULTAS E JUROS DE MORA";"MULTAS DE OUTRAS ORIGENS";"MULTAS PREVISTAS NA LEGISLAÇÃO DE TRÂNSITO";"MULTAS DE TRÂNSITO - PMDF/DER";"2009";;0,00;0,00;0,00;0,00;
"DEPARTAMENTO DE TRÂNSITO DO DF";"DEPARTAMENTO DE TRANSITO DO DF";"RECEITAS CORRENTES";"OUTRAS RECEITAS CORRENTES";"MULTAS E JUROS DE MORA";"MULTAS DE OUTRAS ORIGENS";"MULTAS PREVISTAS NA LEGISLAÇÃO DE TRÂNSITO";"MULTAS DE TRÂNSITO - SEMÁFORO";"2009";;30.816.000,00;32.091.537,29;-1.275.537,29;104,14;
"DEPARTAMENTO DE TRÂNSITO DO DF";"DEPARTAMENTO DE TRANSITO DO DF";"RECEITAS CORRENTES";"OUTRAS RECEITAS CORRENTES";"MULTAS E JUROS DE MORA";"MULTAS DE OUTRAS ORIGENS";"MULTAS PREVISTAS NA LEGISLAÇÃO DE TRÂNSITO";"MULTAS DE TRÂNSITO DETRAN";"2009";;9.389.000,00;6.746.270,65;2.642.729,35;71,85;
"DEPARTAMENTO DE TRÂNSITO DO DF";"DEPARTAMENTO DE TRANSITO DO DF";"RECEITAS CORRENTES";"OUTRAS RECEITAS CORRENTES";"MULTAS E JUROS DE MORA";"MULTAS DE OUTRAS ORIGENS";"MULTAS PREVISTAS NA LEGISLAÇÃO DE TRÂNSITO";"MULTAS DE TRÂNSITO- RADAR ESTÁTICO";"2009";;3.811.000,00;1.692.404,93;2.118.595,07;44,41;
"DEPARTAMENTO DE TRÂNSITO DO DF";"DEPARTAMENTO DE TRANSITO DO DF";"RECEITAS CORRENTES";"OUTRAS RECEITAS CORRENTES";"MULTAS E JUROS DE MORA";"MULTAS DE OUTRAS ORIGENS";"MULTAS PREVISTAS NA LEGISLAÇÃO DE TRÂNSITO";"MULTAS DE TRÂNSITO- VEÍCULO DE OUTRO ESTADO";"2009";;8.945.000,00;4.420.767,54;4.524.232,46;49,42;
"DEPARTAMENTO DE TRÂNSITO DO DF";"DEPARTAMENTO DE TRANSITO DO DF";"RECEITAS CORRENTES";"OUTRAS RECEITAS CORRENTES";"MULTAS E JUROS DE MORA";"MULTAS DE OUTRAS ORIGENS";"MULTAS PREVISTAS NA LEGISLAÇÃO DE TRÂNSITO";"MULTAS DE TRÂNSITO- VEÍCULO DO DF EM OUTRO ESTADO";"2009";;9.512.000,00;2.334.568,17;7.177.431,83;24,54;
"DEPARTAMENTO DE TRÂNSITO DO DF";"DEPARTAMENTO DE TRANSITO DO DF";"RECEITAS CORRENTES";"OUTRAS RECEITAS CORRENTES";"MULTAS E JUROS DE MORA";"MULTAS DE OUTRAS ORIGENS";"MULTAS PREVISTAS NA LEGISLAÇÃO DE TRÂNSITO";"MULTAS DE TRÂNSITO-BARREIRAS ELETRÔNICAS -BET I";"2009";;3.578.000,00;3.379.974,48;198.025,52;94,47;
"DEPARTAMENTO DE TRÂNSITO DO DF";"DEPARTAMENTO DE TRANSITO DO DF";"RECEITAS CORRENTES";"OUTRAS RECEITAS CORRENTES";"MULTAS E JUROS DE MORA";"MULTAS DE OUTRAS ORIGENS";"MULTAS PREVISTAS NA LEGISLAÇÃO DE TRÂNSITO";"MULTAS DE TRÂNSITO-BARREIRAS ELETRÔNICAS -BET II";"2009";;25.317.000,00;20.089.792,61;5.227.207,39;79,35;
"DEPARTAMENTO DE TRÂNSITO DO DF";"DEPARTAMENTO DE TRANSITO DO DF";"RECEITAS CORRENTES";"OUTRAS RECEITAS CORRENTES";"MULTAS E JUROS DE MORA";"MULTAS DE OUTRAS ORIGENS";"MULTAS PREVISTAS NA LEGISLAÇÃO DE TRÂNSITO";"MULTAS DE TRÂNSITO-PMDF/DETRAN";"2009";;9.365.000,00;12.319.525,42;-2.954.525,42;131,55;
